geo_code,geo_level,age_group,area,Total,sex
7,state ,25-29,Rural,18666.0,Female
7,state ,30-34,Rural,16402.0,Female
7,state ,35-39,Rural,14910.0,Female
7,state ,40-44,Rural,11782.0,Female
7,state ,45-49,Rural,8695.0,Female
7,state ,50-54,Rural,6430.0,Female
7,state ,55-59,Rural,4927.0,Female
7,state ,60-64,Rural,5924.0,Female
7,state ,65-69,Rural,2998.0,Female
7,state ,70-74,Rural,2147.0,Female
7,state ,75-79,Rural,1067.0,Female
7,state ,80+,Rural,1540.0,Female
7,state ,Age not stated,Rural,236.0,Female
8,state ,0-4,Rural,2725194.0,Female
8,state ,5-9,Rural,2989398.0,Female
8,state ,10-14,Rural,3090457.0,Female
8,state ,15-19,Rural,2578852.0,Female
8,state ,20-24,Rural,2211087.0,Female
8,state ,25-29,Rural,1850840.0,Female
8,state ,30-34,Rural,1696706.0,Female
8,state ,35-39,Rural,1544561.0,Female
8,state ,40-44,Rural,1314207.0,Female
8,state ,45-49,Rural,1115603.0,Female
8,state ,50-54,Rural,849535.0,Female
8,state ,55-59,Rural,715210.0,Female
8,state ,60-64,Rural,677057.0,Female
8,state ,65-69,Rural,522444.0,Female
8,state ,70-74,Rural,412974.0,Female
8,state ,75-79,Rural,202628.0,Female
8,state ,80+,Rural,256021.0,Female
8,state ,Age not stated,Rural,105831.0,Female
9,state ,0-4,Rural,7915860.0,Female
9,state ,5-9,Rural,9617853.0,Female
9,state ,10-14,Rural,9811618.0,Female
9,state ,15-19,Rural,8285666.0,Female
9,state ,20-24,Rural,6061343.0,Female
9,state ,25-29,Rural,5329277.0,Female
9,state ,30-34,Rural,4985338.0,Female
9,state ,35-39,Rural,4675493.0,Female
9,state ,40-44,Rural,3631268.0,Female
9,state ,45-49,Rural,3037358.0,Female
9,state ,50-54,Rural,2250260.0,Female
9,state ,55-59,Rural,2206066.0,Female
9,state ,60-64,Rural,2191955.0,Female
9,state ,65-69,Rural,1533881.0,Female
9,state ,70-74,Rural,1055241.0,Female
9,state ,75-79,Rural,494065.0,Female
9,state ,80+,Rural,693691.0,Female
9,state ,Age not stated,Rural,548050.0,Female
10,state ,0-4,Rural,5630463.0,Female
10,state ,5-9,Rural,6572838.0,Female
10,state ,10-14,Rural,5908972.0,Female
10,state ,15-19,Rural,3621231.0,Female
10,state ,20-24,Rural,3366524.0,Female
10,state ,25-29,Rural,3382526.0,Female
10,state ,30-34,Rural,3128638.0,Female
10,state ,35-39,Rural,2768886.0,Female
10,state ,40-44,Rural,2106292.0,Female
10,state ,45-49,Rural,1802734.0,Female
10,state ,50-54,Rural,1310457.0,Female
10,state ,55-59,Rural,1298812.0,Female
10,state ,60-64,Rural,1291723.0,Female
10,state ,65-69,Rural,884070.0,Female
10,state ,70-74,Rural,530677.0,Female
10,state ,75-79,Rural,223733.0,Female
10,state ,80+,Rural,280532.0,Female
10,state ,Age not stated,Rural,158478.0,Female
11,state ,0-4,Rural,15841.0,Female
11,state ,5-9,Rural,21824.0,Female
11,state ,10-14,Rural,25603.0,Female
11,state ,15-19,Rural,24816.0,Female
11,state ,20-24,Rural,23538.0,Female
11,state ,25-29,Rural,21153.0,Female
11,state ,30-34,Rural,16624.0,Female
11,state ,35-39,Rural,14315.0,Female
11,state ,40-44,Rural,11709.0,Female
11,state ,45-49,Rural,9710.0,Female
11,state ,50-54,Rural,8060.0,Female
11,state ,55-59,Rural,5829.0,Female
11,state ,60-64,Rural,4904.0,Female
11,state ,65-69,Rural,3948.0,Female
11,state ,70-74,Rural,2656.0,Female
11,state ,75-79,Rural,1586.0,Female
11,state ,80+,Rural,1630.0,Female
11,state ,Age not stated,Rural,456.0,Female
12,state ,0-4,Rural,57180.0,Female
12,state ,5-9,Rural,68111.0,Female
12,state ,10-14,Rural,69046.0,Female
12,state ,15-19,Rural,57103.0,Female
12,state ,20-24,Rural,48868.0,Female
12,state ,25-29,Rural,44957.0,Female
12,state ,30-34,Rural,36286.0,Female
12,state ,35-39,Rural,34322.0,Female
12,state ,40-44,Rural,27111.0,Female
12,state ,45-49,Rural,22316.0,Female
12,state ,50-54,Rural,16201.0,Female
12,state ,55-59,Rural,11158.0,Female
12,state ,60-64,Rural,10603.0,Female
12,state ,65-69,Rural,6591.0,Female
12,state ,70-74,Rural,4599.0,Female
12,state ,75-79,Rural,2220.0,Female
12,state ,80+,Rural,3143.0,Female
12,state ,Age not stated,Rural,532.0,Female
13,state ,0-4,Rural,71280.0,Female
13,state ,5-9,Rural,83504.0,Female
13,state ,10-14,Rural,86491.0,Female
13,state ,15-19,Rural,78567.0,Female
13,state ,20-24,Rural,68637.0,Female
13,state ,25-29,Rural,58543.0,Female
13,state ,30-34,Rural,49710.0,Female
13,state ,35-39,Rural,44103.0,Female
13,state ,40-44,Rural,36818.0,Female
13,state ,45-49,Rural,28701.0,Female
13,state ,50-54,Rural,22142.0,Female
13,state ,55-59,Rural,14853.0,Female
13,state ,60-64,Rural,13303.0,Female
13,state ,65-69,Rural,9009.0,Female
13,state ,70-74,Rural,6803.0,Female
13,state ,75-79,Rural,4023.0,Female
13,state ,80+,Rural,5035.0,Female
13,state ,Age not stated,Rural,542.0,Female
14,state ,0-4,Rural,89311.0,Female
14,state ,5-9,Rural,104308.0,Female
14,state ,10-14,Rural,111628.0,Female
14,state ,15-19,Rural,105133.0,Female
14,state ,20-24,Rural,102516.0,Female
14,state ,25-29,Rural,95261.0,Female
14,state ,30-34,Rural,75779.0,Female
14,state ,35-39,Rural,67986.0,Female
14,state ,40-44,Rural,57665.0,Female
14,state ,45-49,Rural,49541.0,Female
14,state ,50-54,Rural,39480.0,Female
14,state ,55-59,Rural,29046.0,Female
14,state ,60-64,Rural,23348.0,Female
14,state ,65-69,Rural,15329.0,Female
14,state ,70-74,Rural,11287.0,Female
14,state ,75-79,Rural,6695.0,Female
14,state ,80+,Rural,7934.0,Female
14,state ,Age not stated,Rural,2509.0,Female
15,state ,0-4,Rural,32895.0,Female
15,state ,5-9,Rural,31823.0,Female
15,state ,10-14,Rural,29252.0,Female
15,state ,15-19,Rural,24257.0,Female
15,state ,20-24,Rural,25655.0,Female
15,state ,25-29,Rural,22942.0,Female
15,state ,30-34,Rural,18939.0,Female
15,state ,35-39,Rural,15168.0,Female
15,state ,40-44,Rural,11893.0,Female
15,state ,45-49,Rural,11062.0,Female
15,state ,50-54,Rural,9720.0,Female
15,state ,55-59,Rural,6833.0,Female
15,state ,60-64,Rural,5626.0,Female
15,state ,65-69,Rural,3773.0,Female
15,state ,70-74,Rural,2665.0,Female
15,state ,75-79,Rural,1723.0,Female
15,state ,80+,Rural,1948.0,Female
15,state ,Age not stated,Rural,126.0,Female
16,state ,0-4,Rural,126636.0,Female
16,state ,5-9,Rural,130381.0,Female
16,state ,10-14,Rural,138090.0,Female
16,state ,15-19,Rural,135511.0,Female
16,state ,20-24,Rural,142410.0,Female
16,state ,25-29,Rural,123471.0,Female
16,state ,30-34,Rural,97137.0,Female
16,state ,35-39,Rural,94471.0,Female
16,state ,40-44,Rural,78462.0,Female
16,state ,45-49,Rural,66634.0,Female
16,state ,50-54,Rural,50320.0,Female
16,state ,55-59,Rural,36881.0,Female
16,state ,60-64,Rural,33355.0,Female
16,state ,65-69,Rural,25359.0,Female
16,state ,70-74,Rural,19066.0,Female
16,state ,75-79,Rural,10907.0,Female
16,state ,80+,Rural,15733.0,Female
16,state ,Age not stated,Rural,467.0,Female
17,state ,0-4,Rural,173632.0,Female
17,state ,5-9,Rural,163411.0,Female
17,state ,10-14,Rural,155576.0,Female
17,state ,15-19,Rural,124994.0,Female
17,state ,20-24,Rural,112271.0,Female
17,state ,25-29,Rural,96886.0,Female
17,state ,30-34,Rural,70728.0,Female
17,state ,35-39,Rural,66164.0,Female
17,state ,40-44,Rural,54959.0,Female
