table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,0,0,INDIA,Rural,45-49,40688228,20864270,19823958,541381,363408,177973,37128927,19807991,17320936,2697120,589129,2107991,241214,76993,164221,79586,26749,52837,0,0,0
C0402,0,0,INDIA,Rural,50-54,32031788,16789547,15242241,403565,268009,135556,28083347,15717024,12366323,3310054,727435,2582619,177958,58207,119751,56864,18872,37992,0,0,0
C0402,0,0,INDIA,Rural,55-59,25861514,12536529,13324985,291038,189104,101934,22111575,11563736,10547839,3306823,732148,2574675,116732,39676,77056,35346,11865,23481,0,0,0
C0402,0,0,INDIA,Rural,60-64,26291245,12931592,13359653,444246,268330,175916,19926477,11398334,8528143,5774646,1213614,4561032,113749,40602,73147,32127,10712,21415,0,0,0
C0402,0,0,INDIA,Rural,65-69,18916270,9208311,9707959,400244,240603,159641,13142178,7770979,5371199,5282090,1161397,4120693,71826,28606,43220,19932,6726,13206,0,0,0
C0402,0,0,INDIA,Rural,70-74,13807600,6978179,6829421,228321,143647,84674,8098574,5520731,2577843,5420184,1286950,4133234,46924,21870,25054,13597,4981,8616,0,0,0
C0402,0,0,INDIA,Rural,75-79,6383717,3113424,3270293,107641,66709,40932,3540194,2314991,1225203,2710290,719245,1991045,19894,10395,9499,5698,2084,3614,0,0,0
C0402,0,0,INDIA,Rural,80+,7894990,3765796,4129194,421501,255824,165677,3415714,2331238,1084476,4027817,1163897,2863920,22279,12114,10165,7679,2723,4956,0,0,0
C0402,0,0,INDIA,Rural,Age not stated,2913452,1533420,1380032,1563830,939219,624611,1210998,555233,655765,128436,34765,93671,7106,2963,4143,3082,1240,1842,0,0,0
C0402,0,0,INDIA,Rural,Less than 18,324074984,169231524,154843460,318612914,167532624,151080290,5221381,1606578,3614803,150603,52672,97931,74264,33573,40691,15822,6077,9745,0,0,0
C0402,0,0,INDIA,Rural,Less than 21,377480032,197205978,180274054,356036160,191916787,164119373,20959718,5126095,15833623,280225,93225,187000,156178,56893,99285,47751,12978,34773,0,0,0
C0402,0,0,INDIA,Urban,All ages,377106125,195489200,181616925,171936284,98363020,73573264,186558822,93377168,93181654,16946366,3203802,13742564,1161122,379458,781664,503531,165752,337779,0,0,0
C0402,0,0,INDIA,Urban,0-9,62940632,33070904,29869728,62940632,33070904,29869728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,0,0,INDIA,Urban,10-14,35904718,18930677,16974041,35038925,18593777,16445148,808438,313238,495200,31906,11056,20850,20913,10497,10416,4536,2109,2427,0,0,0
C0402,0,0,INDIA,Urban,15-19,36623977,19411839,17212138,33251696,18664693,14587003,3277991,714601,2563390,55953,17410,38543,29964,12488,17476,8373,2647,5726,0,0,0
C0402,0,0,INDIA,Urban,20-24,37589176,19446031,18143145,22852528,15209675,7642853,14501190,4172511,10328679,124554,31511,93043,79094,24724,54370,31810,7610,24200,0,0,0
C0402,0,0,INDIA,Urban,25-29,35345695,17968219,17377476,9906516,7492200,2414316,24988516,10359963,14628553,251151,57041,194110,135862,41288,94574,63650,17727,45923,0,0,0
C0402,0,0,INDIA,Urban,30-34,30683172,15726482,14956690,3123205,2366409,756796,26882744,13192474,13690270,432938,90099,342839,162104,50698,111406,82181,26802,55379,0,0,0
C0402,0,0,INDIA,Urban,35-39,29077977,14793820,14284157,1283342,900147,383195,26803899,13682401,13121498,727121,124850,602271,177552,56280,121272,86063,30142,55921,0,0,0
C0402,0,0,INDIA,Urban,40-44,24857104,12980151,11876953,715443,464915,250528,22873566,12271360,10602206,1038567,167656,870911,158019,50724,107295,71509,25496,46013,0,0,0
C0402,0,0,INDIA,Urban,45-49,21630099,11273844,10356255,460826,276295,184531,19612684,10725283,8887401,1374931,213211,1161720,128373,40283,88090,53285,18772,34513,0,0,0
