table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,7,0,State - NCT OF DELHI (07),Total,45-49,911213,495227,415986,12755,8452,4303,843157,474675,368482,50299,10055,40244,2973,1158,1815,2029,887,1142,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,50-54,687469,376222,311247,9324,5738,3586,615001,356639,258362,59913,12532,47381,1924,767,1157,1307,546,761,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,55-59,508892,269185,239707,6287,3690,2597,441524,251264,190260,59062,13398,45664,1201,493,708,818,340,478,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,60-64,472019,238103,233916,8905,5170,3735,365423,211807,153616,95983,20510,75473,1115,406,709,593,210,383,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,65-69,272452,139398,133054,8922,5117,3805,191326,117017,74309,71532,16983,54549,425,182,243,247,99,148,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,70-74,189250,94947,94303,3851,2243,1608,114354,74274,40080,70585,18242,52343,252,118,134,208,70,138,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,75-79,100693,50446,50247,1352,774,578,54500,36309,18191,44640,13279,31361,106,54,52,95,30,65,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,80+,113031,53861,59170,4827,2942,1885,44783,30445,14338,63143,20348,42795,143,70,73,135,56,79,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,Age not stated,16702,9175,7527,9787,5958,3829,6280,3035,3245,572,155,417,36,12,24,27,15,12,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,Less than 18,5537178,2993034,2544144,5488612,2978638,2509974,46327,13570,32757,1130,307,823,975,464,511,134,55,79,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Total,Less than 21,6631038,3602542,3028496,6428715,3552435,2876280,198286,48736,149550,1994,536,1458,1726,732,994,317,103,214,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,All ages,419042,226321,192721,202613,120204,82409,200733,101914,98819,14790,3785,11005,678,302,376,228,116,112,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,0-9,81719,45179,36540,81719,45179,36540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,10-14,45883,25479,20404,45434,25325,20109,406,146,260,15,2,13,25,5,20,3,1,2,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,15-19,44367,24916,19451,41185,24248,16937,3131,652,2479,32,8,24,17,6,11,2,2,0,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,20-24,44407,23805,20602,24017,17025,6992,20206,6717,13489,86,24,62,72,32,40,26,7,19,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,25-29,39250,20584,18666,6556,5464,1092,32325,14986,17339,218,61,157,115,52,63,36,21,15,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,30-34,33833,17431,16402,1424,1235,189,31846,16018,15828,405,108,297,116,52,64,42,18,24,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,35-39,31648,16738,14910,569,488,81,30165,16004,14161,748,172,576,127,54,73,39,20,19,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,40-44,25962,14180,11782,306,257,49,24473,13615,10858,1076,248,828,80,41,39,27,19,8,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,45-49,19676,10981,8695,162,134,28,18152,10525,7627,1314,299,1015,33,13,20,15,10,5,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,50-54,14347,7917,6430,121,101,20,12750,7481,5269,1441,315,1126,26,13,13,9,7,2,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,55-59,10299,5372,4927,78,57,21,8936,4995,3941,1259,305,954,16,11,5,10,4,6,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,60-64,11624,5700,5924,225,159,66,9034,5009,4025,2329,520,1809,31,10,21,5,2,3,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,65-69,6123,3125,2998,261,170,91,4279,2563,1716,1567,383,1184,9,6,3,7,3,4,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,70-74,4318,2171,2147,89,57,32,2554,1661,893,1668,449,1219,5,4,1,2,0,2,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,75-79,2047,980,1067,30,26,4,1126,680,446,891,274,617,0,0,0,0,0,0,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,80+,3022,1482,1540,117,80,37,1173,784,389,1721,613,1108,6,3,3,5,2,3,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,Age not stated,517,281,236,320,199,121,177,78,99,20,4,16,0,0,0,0,0,0,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,Less than 18,153880,85349,68531,152609,85002,67607,1199,329,870,34,7,27,35,10,25,3,1,2,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Rural,Less than 21,182492,101205,81287,175657,99619,76038,6708,1548,5160,63,15,48,54,17,37,10,6,4,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,All ages,16368899,8761005,7607894,7772210,4502445,3269765,7961184,4098314,3862870,587205,141597,445608,30578,11620,18958,17722,7029,10693,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,0-9,2835453,1518644,1316809,2835453,1518644,1316809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,10-14,1602264,869967,732297,1585095,863924,721171,16030,5592,10438,511,140,371,549,275,274,79,36,43,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,15-19,1623008,900202,722806,1532232,879525,652707,88946,20041,68905,921,264,657,779,335,444,130,37,93,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,20-24,1719653,927606,792047,1122279,735376,386903,591515,190540,400975,2826,754,2072,2243,723,1520,790,213,577,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,25-29,1629076,857612,771464,454640,334841,119799,1161060,518557,642503,6628,1985,4643,4612,1521,3091,2136,708,1428,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,30-34,1400866,740024,660842,115893,87189,28704,1263405,645973,617432,13086,3614,9472,5319,2015,3304,3163,1233,1930,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,35-39,1287596,681717,605879,40822,29166,11656,1214911,643981,570930,23422,5132,18290,5091,1983,3108,3350,1455,1895,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,40-44,1071235,576678,494557,21189,14679,6510,1007150,551941,455209,36292,7368,28924,3936,1568,2368,2668,1122,1546,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,45-49,891537,484246,407291,12593,8318,4275,825005,464150,360855,48985,9756,39229,2940,1145,1795,2014,877,1137,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,50-54,673122,368305,304817,9203,5637,3566,602251,349158,253093,58472,12217,46255,1898,754,1144,1298,539,759,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,55-59,498593,263813,234780,6209,3633,2576,432588,246269,186319,57803,13093,44710,1185,482,703,808,336,472,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,60-64,460395,232403,227992,8680,5011,3669,356389,206798,149591,93654,19990,73664,1084,396,688,588,208,380,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,65-69,266329,136273,130056,8661,4947,3714,187047,114454,72593,69965,16600,53365,416,176,240,240,96,144,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,70-74,184932,92776,92156,3762,2186,1576,111800,72613,39187,68917,17793,51124,247,114,133,206,70,136,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,75-79,98646,49466,49180,1322,748,574,53374,35629,17745,43749,13005,30744,106,54,52,95,30,65,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,80+,110009,52379,57630,4710,2862,1848,43610,29661,13949,61422,19735,41687,137,67,70,130,54,76,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,Age not stated,16185,8894,7291,9467,5759,3708,6103,2957,3146,552,151,401,36,12,24,27,15,12,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,Less than 18,5383298,2907685,2475613,5336003,2893636,2442367,45128,13241,31887,1096,300,796,940,454,486,131,54,77,0,0,0
C0402,7,0,State - NCT OF DELHI (07),Urban,Less than 21,6448546,3501337,2947209,6253058,3452816,2800242,191578,47188,144390,1931,521,1410,1672,715,957,307,97,210,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,All ages,68548437,35550997,32997440,32843831,18597017,14246814,32904412,16228226,16676186,2628454,644820,1983634,131639,64591,67048,40101,16343,23758,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,0-9,15344908,8117447,7227461,15344908,8117447,7227461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,10-14,8380518,4430696,3949822,8120298,4337003,3783295,253493,90737,162756,3506,1350,2156,2855,1439,1416,366,167,199,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,15-19,7314017,3889874,3424143,5935107,3497706,2437401,1362319,386279,976040,8434,2959,5475,6866,2545,4321,1291,385,906,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,20-24,6426494,3377483,3049011,2277117,1705003,572114,4102486,1653881,2448605,22922,8605,14317,18819,8186,10633,5150,1808,3342,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,25-29,5348497,2763059,2585438,570321,479381,90940,4707470,2255241,2452229,42347,15001,27346,21423,10528,10895,6936,2908,4028,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,30-34,4722683,2384569,2338114,161906,140036,21870,4465691,2210792,2254899,68840,20919,47921,19673,10000,9673,6573,2822,3751,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,35-39,4334564,2201790,2132774,76165,65710,10455,4127990,2095519,2032471,107046,29028,78018,17623,9023,8600,5740,2510,3230,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,40-44,3735355,1926916,1808439,48928,42555,6373,3520737,1836648,1684089,146513,38276,108237,14650,7406,7244,4527,2031,2496,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,45-49,3145404,1608512,1536892,32430,27976,4454,2922956,1527968,1394988,177060,46207,130853,9926,5091,4835,3032,1270,1762,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,50-54,2516808,1345007,1171801,25631,21977,3654,2250036,1260519,989517,231791,57980,173811,7155,3674,3481,2195,857,1338,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,55-59,1897449,935866,961583,17964,14749,3215,1656342,864129,792213,217943,54440,163503,3973,2074,1899,1227,474,753,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,60-64,1770139,884024,886115,29675,20994,8681,1376982,781361,595621,358771,79390,279381,3628,1872,1756,1083,407,676,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,65-69,1260376,589471,670905,27070,18347,8723,912385,498179,414206,318289,71630,246659,1982,1082,900,650,233,417,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,70-74,1016915,490011,526904,15235,11250,3985,607560,391198,216362,392202,86610,305592,1383,778,605,535,175,360,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,75-79,477655,216016,261639,6946,5001,1945,270818,161098,109720,199151,49548,149603,522,282,240,218,87,131,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,80+,587053,252741,334312,24026,15263,8763,240418,156816,83602,321642,80199,241443,633,346,287,334,117,217,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,Age not stated,269602,137515,132087,130104,76619,53485,126729,57861,68868,11997,2678,9319,528,265,263,244,92,152,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,Less than 18,28136778,14914021,13222757,27396027,14669696,12726331,726225,238603,487622,8120,2882,5238,5601,2508,3093,805,332,473,0,0,0
C0402,8,0,State - RAJASTHAN (08),Total,Less than 21,32830584,17372804,15457780,30263038,16577530,13685508,2533365,782538,1750827,17204,6101,11103,14218,5749,8469,2759,886,1873,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,All ages,51500352,26641747,24858605,24835016,14025435,10809581,24520540,12043696,12476844,2021742,509904,1511838,100279,52353,47926,22775,10359,12416,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,0-9,12097303,6382711,5714592,12097303,6382711,5714592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,10-14,6537189,3446732,3090457,6316957,3368219,2948738,215282,76326,138956,2663,1045,1618,2066,1042,1024,221,100,121,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,15-19,5496935,2918083,2578852,4324822,2577068,1747754,1158940,336234,822706,6652,2422,4230,5569,2056,3513,952,303,649,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,20-24,4682761,2471674,2211087,1386593,1101828,284765,3259444,1354338,1905106,18001,7079,10922,15184,7031,8153,3539,1398,2141,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,25-29,3832693,1981853,1850840,297598,269287,28311,3482042,1689631,1792411,32781,12214,20567,16246,8683,7563,4026,2038,1988,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,30-34,3412817,1716111,1696706,94599,86276,8323,3247637,1603417,1644220,52605,16704,35901,14539,7997,6542,3437,1717,1720,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,35-39,3130395,1585834,1544561,49078,44415,4663,2984371,1509371,1475000,81024,23401,57623,13113,7250,5863,2809,1397,1412,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,40-44,2704801,1390594,1314207,33538,30622,2916,2547917,1321929,1225988,110070,31029,79041,10928,5859,5069,2348,1155,1193,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,45-49,2265671,1150068,1115603,22953,20890,2063,2102867,1087390,1015477,130986,37043,93943,7331,4028,3303,1534,717,817,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,50-54,1817629,968094,849535,18632,16940,1692,1617828,901341,716487,174548,46373,128175,5437,2943,2494,1184,497,687,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,55-59,1383879,668669,715210,13029,11542,1487,1204431,612499,591932,162800,42720,120080,2963,1630,1333,656,278,378,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,60-64,1343329,666272,677057,22871,16952,5919,1037252,584093,453159,279733,63430,216303,2814,1533,1281,659,264,395,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,65-69,971320,448876,522444,20274,14390,5884,700533,376621,323912,248464,56799,191665,1617,911,706,432,155,277,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,70-74,795430,382456,412974,11562,9094,2468,470906,303737,167169,311421,68847,242574,1147,656,491,394,122,272,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,75-79,364642,162014,202628,4956,3837,1119,206647,120627,86020,152481,37257,115224,400,229,171,158,64,94,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,80+,449071,193050,256021,16129,10560,5569,184439,120803,63636,247749,61324,186425,500,276,224,254,87,167,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,Age not stated,214487,108656,105831,104122,60804,43318,100004,45339,54665,9764,2217,7547,425,229,196,172,67,105,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,Less than 18,21975952,11621494,10354458,21343848,11412085,9931763,621058,205040,416018,6259,2287,3972,4247,1857,2390,540,225,315,0,0,0
C0402,8,0,State - RAJASTHAN (08),Rural,Less than 21,25479835,13454830,12025005,23322020,12770775,10551245,2130900,673754,1457146,13537,4974,8563,11398,4650,6748,1980,677,1303,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,All ages,17048085,8909250,8138835,8008815,4571582,3437233,8383872,4184530,4199342,606712,134916,471796,31360,12238,19122,17326,5984,11342,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,0-9,3247605,1734736,1512869,3247605,1734736,1512869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,10-14,1843329,983964,859365,1803341,968784,834557,38211,14411,23800,843,305,538,789,397,392,145,67,78,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,15-19,1817082,971791,845291,1610285,920638,689647,203379,50045,153334,1782,537,1245,1297,489,808,339,82,257,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,20-24,1743733,905809,837924,890524,603175,287349,843042,299543,543499,4921,1526,3395,3635,1155,2480,1611,410,1201,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,25-29,1515804,781206,734598,272723,210094,62629,1225428,565610,659818,9566,2787,6779,5177,1845,3332,2910,870,2040,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,30-34,1309866,668458,641408,67307,53760,13547,1218054,607375,610679,16235,4215,12020,5134,2003,3131,3136,1105,2031,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,35-39,1204169,615956,588213,27087,21295,5792,1143619,586148,557471,26022,5627,20395,4510,1773,2737,2931,1113,1818,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,40-44,1030554,536322,494232,15390,11933,3457,972820,514719,458101,36443,7247,29196,3722,1547,2175,2179,876,1303,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,45-49,879733,458444,421289,9477,7086,2391,820089,440578,379511,46074,9164,36910,2595,1063,1532,1498,553,945,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,50-54,699179,376913,322266,6999,5037,1962,632208,359178,273030,57243,11607,45636,1718,731,987,1011,360,651,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,55-59,513570,267197,246373,4935,3207,1728,451911,251630,200281,55143,11720,43423,1010,444,566,571,196,375,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,60-64,426810,217752,209058,6804,4042,2762,339730,197268,142462,79038,15960,63078,814,339,475,424,143,281,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,65-69,289056,140595,148461,6796,3957,2839,211852,121558,90294,69825,14831,54994,365,171,194,218,78,140,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,70-74,221485,107555,113930,3673,2156,1517,136654,87461,49193,80781,17763,63018,236,122,114,141,53,88,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,75-79,113013,54002,59011,1990,1164,826,64171,40471,23700,46670,12291,34379,122,53,69,60,23,37,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,80+,137982,59691,78291,7897,4703,3194,55979,36013,19966,73893,18875,55018,133,70,63,80,30,50,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,Age not stated,55115,28859,26256,25982,15815,10167,26725,12522,14203,2233,461,1772,103,36,67,72,25,47,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,Less than 18,6160826,3292527,2868299,6052179,3257611,2794568,105167,33563,71604,1861,595,1266,1354,651,703,265,107,158,0,0,0
C0402,8,0,State - RAJASTHAN (08),Urban,Less than 21,7350749,3917974,3432775,6941018,3806755,3134263,402465,108784,293681,3667,1127,2540,2820,1099,1721,779,209,570,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,All ages,199812341,104480510,95331831,105471588,59353192,46118396,86450758,42265528,44185230,7539857,2683669,4856188,248385,133187,115198,101753,44934,56819,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,0-9,45438385,23910805,21527580,45438385,23910805,21527580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,10-14,25869881,13679154,12190727,25317619,13475061,11842558,520568,189727,330841,18642,7746,10896,11177,5680,5497,1875,940,935,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,15-19,23040380,12307573,10732807,20668118,11700854,8967264,2317719,584202,1733517,38118,15169,22949,13171,6159,7012,3254,1189,2065,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,20-24,17578648,9405485,8173163,8515332,6055288,2460044,8954413,3304649,5649764,72691,30309,42382,25936,11472,14464,10276,3767,6509,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,25-29,14579829,7466367,7113462,2368180,1901624,466556,12032730,5482598,6550132,128513,57745,70768,34905,17837,17068,15501,6563,8938,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,30-34,12954682,6431401,6523281,751176,617382,133794,11949428,5700816,6248612,203469,87380,116089,34766,18748,16018,15843,7075,8768,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,35-39,12556222,6401231,6154991,357900,296138,61762,11819425,5949055,5870370,329645,129871,199774,33949,19099,14850,15303,7068,8235,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,40-44,10231402,5395162,4836240,220466,185139,35327,9528569,5021063,4507506,443268,167968,275300,27355,15636,11719,11744,5356,6388,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,45-49,8449777,4382148,4067629,142403,118331,24072,7758019,4063075,3694944,522513,186203,336310,18980,10864,8116,7862,3675,4187,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,50-54,6587023,3571917,3015106,112111,91923,20188,5811481,3244839,2566642,643410,224386,419024,14179,8050,6129,5842,2719,3123,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,55-59,5464146,2626201,2837945,86670,67025,19645,4740669,2336363,2404306,623985,215874,408111,9169,5227,3942,3653,1712,1941,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,60-64,5705191,2968771,2736420,145149,100264,44885,4397046,2494181,1902865,1149212,366843,782369,9897,5672,4225,3887,1811,2076,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,65-69,3839969,1958472,1881497,140501,90653,49848,2730731,1542376,1188355,960999,321225,639774,5514,3190,2324,2224,1028,1196,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,70-74,2832368,1535092,1297276,80683,56105,24578,1688316,1116813,571503,1057780,359036,698744,3875,2352,1523,1714,786,928,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,75-79,1249892,638877,611015,41722,27765,13957,721355,426240,295115,484687,183707,300980,1416,852,564,712,313,399,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,80+,1812484,935921,876563,177777,112558,65219,824279,510761,313518,807076,310799,496277,2222,1300,922,1130,503,627,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,Age not stated,1622062,865933,756129,907396,546277,361119,656010,298770,357240,55849,19408,36441,1874,1049,825,933,429,504,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,Less than 18,85334785,45000542,40334243,83973399,44555693,39417706,1297554,417191,880363,42524,17079,25445,18073,9034,9039,3235,1545,1690,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Total,Less than 21,99600945,52792679,46808266,94779196,51378267,43400929,4707029,1366529,3340500,76839,30540,46299,30547,14505,16042,7334,2838,4496,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,All ages,155317278,80992995,74324283,82168438,46077005,36091433,66938792,32553832,34384960,5948921,2219000,3729921,191942,109730,82212,69185,33428,35757,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,0-9,36918679,19384966,17533713,36918679,19384966,17533713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,10-14,20773940,10962322,9811618,20337762,10802283,9535479,411500,148633,262867,14471,6202,8269,8859,4508,4351,1348,696,652,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,15-19,17779084,9493418,8285666,15802886,8989458,6813428,1933121,485776,1447345,30319,12418,17901,10334,4862,5472,2424,904,1520,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,20-24,12989044,6927701,6061343,5591876,4135174,1456702,7312075,2755029,4557046,57082,24981,32101,20371,9499,10872,7640,3018,4622,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,25-29,10860729,5531452,5329277,1330377,1130496,199881,9391515,4332817,5058698,101011,47997,53014,27017,14977,12040,10809,5165,5644,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,30-34,9810399,4825061,4985338,445604,383188,62416,9168747,4348838,4819909,159309,72280,87029,26289,15485,10804,10450,5270,5180,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,35-39,9523701,4848208,4675493,237171,204880,32291,8995755,4514772,4480983,255293,107900,147393,25623,15623,10000,9859,5033,4826,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,40-44,7685262,4053994,3631268,154644,135954,18690,7164586,3763053,3401533,337747,138403,199344,20776,12786,7990,7509,3798,3711,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,45-49,6278251,3240893,3037358,103075,89778,13297,5767361,2988813,2778548,388470,150895,237575,14367,8850,5517,4978,2557,2421,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,50-54,4912691,2662431,2250260,83268,71856,11412,4330845,2400608,1930237,483831,181443,302388,10888,6586,4302,3859,1938,1921,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,55-59,4166600,1960534,2206066,64703,52671,12032,3625649,1729520,1896129,466693,172777,293916,7121,4328,2793,2434,1238,1196,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,60-64,4555476,2363521,2191955,114557,81953,32604,3516725,1970351,1546374,913251,304982,608269,8064,4804,3260,2879,1431,1448,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,65-69,3116965,1583084,1533881,108159,72130,36029,2222721,1238203,984518,779774,269178,510596,4610,2750,1860,1701,823,878,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,70-74,2317686,1262445,1055241,62823,45514,17309,1378522,910868,467654,871676,303363,568313,3310,2057,1253,1355,643,712,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,75-79,1008251,514186,494065,32054,22097,9957,586028,340165,245863,388482,150970,237512,1151,711,440,536,243,293,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,80+,1448090,754399,693691,125433,80136,45297,660195,412785,247410,659860,260016,399844,1782,1078,704,820,384,436,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,Age not stated,1172430,624380,548050,655367,394471,260896,473447,213601,259846,41652,15195,26457,1380,826,554,584,287,297,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,Less than 18,68639905,36133663,32506242,67549633,35779741,31769892,1040028,331713,708315,33644,13909,19735,14258,7157,7101,2342,1143,1199,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Rural,Less than 21,79459361,42049165,37410196,75462102,40868580,34593522,3906491,1141742,2764749,61037,25056,35981,24217,11600,12617,5514,2187,3327,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Urban,All ages,44495063,23487515,21007548,23303150,13276187,10026963,19511966,9711696,9800270,1590936,464669,1126267,56443,23457,32986,32568,11506,21062,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Urban,0-9,8519706,4525839,3993867,8519706,4525839,3993867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Urban,10-14,5095941,2716832,2379109,4979857,2672778,2307079,109068,41094,67974,4171,1544,2627,2318,1172,1146,527,244,283,0,0,0
C0402,9,0,State - UTTAR PRADESH (09),Urban,15-19,5261296,2814155,2447141,4865232,2711396,2153836,384598,98426,286172,7799,2751,5048,2837,1297,1540,830,285,545,0,0,0
